,date,comment
10,"Dec 8, 2022","Went in for some things and waiting in line for 15 minutes or so , and bro with the fucked up flat top decided to wait till I was ready to pay to say he can't cash anyone out after 10pm, if this is the manager of the store I feel for them, big fuck you to you"
11,"Nov 2, 2022",Defective pods and terrible customer service. The very first vape pod I purchased with them was defective. I had to return today but did not have my original packaging so they denied any exchange or refund. Apparently this happens a lot. So many other places you can go. Skip this one.
12,"Jun 3, 2021","Damn you guys are so rude. They rushed me to buy my shit (the guy with a full face covering and head thing on?) He was a rude little guy. Anyway I bought the weed I seen printed online for 16% on Riverview farms website.. when I stepped out that dispensary that shit said 8%. (Mind you I didn't check the percentage because I was sure it would be 16%) as it stated online.. I went back inside to ask for a switch of another strain because I didn't even open it yet smh.. he told me ""I cant exchange flower blah blah blah.. the new girl doesn't know what she's talking about in the front so yeah."" What? Bruh. $40 wasted. Was also trying not to make a scene because I have $33 to my name I'm stressed enough.Please stop hiring rude men who can't even greet you when you walk up to the counter.. I cant even get high on a mf Friday night. I think ima stick to buying weed somewhere else. Bleh"
13,"Jun 4, 2020","2 things here.1 Customer Service: This place has one really bad apple.  I love the staff here and they are very warm and welcoming but this one woman which is probably hispanic and is a little heavier ( I do not like to make labels, I just don't know her name and would like to describe her) She is completely RUDE.  From checking in clients to helping them pick flavors she is really rude with a super attitude.I honestly get uncomfortable every-time she helps me because she is NOT helpful and stays having a dirty look on her face.  You can tell she doesn't want to be there and literally give no effort.  I will literally let someone cut me inline so she's not the one taking care of me, because I know she wont. When I asked for something on the lower end she gave me this look that just rubbed me the wrong way and It has just stuck with me since. If I'm feeling like this I am sure others are as well.  And I feel bad for the rest of the amazing staff that has to share tips with her because she for sure isn't putting in work like the rest of them.2 Flower quality: For the most part the flower is good.  But I got a bag a while ago that was the absolute worst thing ive ever got from a club. They should not be selling anything like this, taste, smell, gross.  the weed tasted like it was either cut to early or had some kind of chemical burn. Just Nasty, and then they call it ""Blue Cookies"" or somthing thinking you're going to get that.  mmmmmmmmm Nope!  No club should be able to sell this garbage. waste to money. Picture below and beware."
14,"Jun 8, 2021",Piece of shit scammers they sell half grams and say they are full grams this is a scam and company they deserve a zero everybody must know about this they sell half grams and charge you for a full gram they are completely scamming their customers this is complete bullshit
15,"Dec 21, 2020","Normally, I would've been surprised to find out Stiiizy has such a low rating. But after finding out they are a franchised business it makes sense to see the rating be so low. 1! First and foremost this, location did away with the one thing that made them super legit and always had me walking through the door. My military discount. Wow! Not just that but all discounts.2nd. The rude and horrible customer service that I received from the girl that must've thought that she was too cute to read off some hand written tags. It's not my fault her leg was hurting and she's working an unorganized sales floor that has the Stiiizy pod products in 2 different sections instead of having, ""two sections."" I'm spending over $200, forgive me for wanting to know my options! Get a better set-up!I really wish dispensaries would stop hiring these ""so-called"" cute girls thinking they'll sell more and in actuality they end up having horrible customer service because they actually have to work. And it's not just standing there looking cute getting tips. And then they get hit on so much, they end up thinking every guy is going to hit on them and their customer service lacks.But then the very few real people and ""guys"" who are actually knowledgeable and willing to work, end up having a hard time getting those jobs, that they would actually benefit the business... Due to hiring half-assed wannabes."
16,"Nov 10, 2021","Had gone to this location a couple of times specifically for disposable vape pens. The customer service on my first experience was sub- par, they assume that you know how their system works and how the store is organized, nobody seems enthusiastic to help. Yesterday I went to return a faulty disposable battery and with about half of the pod left in they claimed it stopped working because I was out of wax. There was clearly plenty of oil left in the cartridge and it seemed to be a problem with the battery. They told me tough luck and sent me on my way. Definitely the last time I will support that store and NEVER buy any stiizy products anywhere else. This company needs to be ran more professional and train their staff on customer service and product knowledge. Very disappointed"
17,"Nov 18, 2020","******WARNING!!!!!!****IF YOU WISH TO BE TREATED WITH RESPECT DO NOT, I REPEAT DO NOT, PATRONIZE THIS BUSINESS!!!!If I could I'd give a negative star. Their service doesn't even equate to zero because the way the treat you will have you feeling attacked and violated.They disrespectfully kicked me out for wanting to have a conversation with my own biological sister whom I was with in the store."
18,"Jan 10, 2021","If you close at 9:50 update your hours online (weedmaps, leafly, etc).Even the Yelp page has 10:00 but under it there's a note that says 9:50. Which is it? Get your house in order. Update your hours or, you know, stay open til you say you will.And if you're not gonna bother, at the very least at least pretend to care that a patient rushed to your establishment instead of shooing them away like pests when they arrive. Is this one of those places where people go to get disrespected? Maybe that flies in LA, but it doesn't in most places. And by looking at other reviews it looks like they have a culture problem they are either unwilling or unable to address."
19,"Mar 17, 2022",Was at the Stiiizy Mission St. location last night and bought a honey leaf OG Kush cartridge that was defective but did not know it until I discarded the receipt and packaging in a dumpster. The SORRY ASS MANAGER would exchange my cartridge without the package that it came in. Their weed is for shit and they sell defective Vape cartridges. Once in a while they'll have a strain of weed that's good but other than that if you want quality stay away from this location.
20,"Sep 6, 2020","I just went into this dispensary for the first time. My boyfriend usually buys me gummies for me to help sleep at night. ANYWAYS, I figured I'd go with him to check it out, considering I've never been here. Yes, this place was compliant with all the COVID protocol's, which I can appreciate bc my daughter is high risk. We are standing in line on the same sticker six feet from the other people in line. Out of no where this guy yells across the counter, hella loud at me to stay 6ft apart from by bf. ??? Ok. I get it. So my bf moves up first, I stay where I'm at. It becomes my bfs turn to go up to the counter, so I follow him..  because 1. I've never been here, idk how this works 2. We are together 3. Ultimately we are paying together. 4. My bf was going to point out the gummies I've tried vs ones I liked etc.... Then I get semi yelled at again and was told to ""get back!!""..... ???? Wtf?  I said, ""it's ok then, I'll just wait outside.. what's the point?"" I wanted to take a look at stuff with my bf just bc he's the one that knows what I'm looking for. But anyway, I figured he can grab it like he normally does. So I go stand outside, some creepy ass dudes driving by honking and whistling at me. I go peak inside to see if my bf is wrapping up and paying.. and I see there's a guy who WE DID NOT COME WITH all up on my bfs back,  looking at the same shit my bf is (not even 6 inches apart) but yet I couldn't stand next to him to take look? Makes no sense. Also, I'd like to add, they didn't even grab the right wax he wanted, but he was too nice to go in and complain. Yes, I'm sure whoever was working could've helped me, but being called out by this person 2 times in a line of 5-6 people (all guys, mind you) definitely didn't make me feel comfortable wanting any customer service from them. Maybe they should spread their product out more... And have the line completely outside.. in case people want to go in with someone. I can't be the ONLY person, that wanted to stand next to their significant other while picking out their product(s) ((WHOM THEY LIVE WITH. ))Also, If you're going to call out a customer (in front of people) maybe you should have a staff member walk up to them and explain the situation (so what.. each of us would take a turn to pick shit out, and my bf would come back and pay?). Or have security explain how it's being done with COVID. Security, and the front desk lady knew it was my first time, but yet no one explained how anything worked. Just overall unprofessional."
21,"Jan 22, 2022",I've been coming here for a while now. I always have a good experience with these guys. Some bud tenders might be more chill than others but overall everyone is really nice. Regardless of other peoples own negative experiences I'd still recommend these guys. Prices are legit and they have almost everything you want.
22,"Nov 2, 2020","This club is a joke, they gave all these discounts just to get people to come in so they didn't close during covid, just to take them away DURING COVID . Also it's not like it's poppin the lines are long because the bud tenders are slow and and it seems like there are 10 people working behind the booth when really their talking about nothing and 1 or 2 people are working , I will not  be coming back , everyone to Urbana around the corner, they take card and delivery. This club can go back to Southern California to be honest"
23,"Dec 8, 2020",I give this place another shot because my little sister wanted to try plus she just turned 22 so it's all good. Thank you so much Jason for all your help. You helped me my 1st time there and I so happy you helped my lil sis this time. You're so awesome. Love the way you were very patient with her and all the information you gave her. Thank you so very much.
24,"Oct 13, 2020","Bummer. Service here has gone downhill since they changed from LaCorona. Stopped carrying the Lowell farms I liked or the dog walkers in the tiny tins. Front desk attendant had to shout instructions at me over their loud music. Maybe turn it down? Now cash only. They make you use this silly atm up front. Husband and I went in for a couple things and even though we arrived together, weren't allowed to stand near each other the required 6 feet from the counter and look at the menu. Budtenders kept shouting at us to separate. I used to stop by here often, but I won't be back."
25,"Aug 11, 2020","Had a pretty terrible experience at this dispensary. I went in looking for a pax pod (yeah my bad), and when I was buying it I asked the person helping me twice if the pod would work with pax. He said yes twice. I walked out the door and realized that the label didn't say pax at all. When I went back in, I told them my situation and they had me stand back in line and the manager told me that they couldn't return it or refund it at all. She said that the package looked opened, even though I had just left the store. It was extremely frustrating because I don't own a stiizy battery, and they were unwilling to do anything about it even though their employee had confirmed with me that the pod was compatible with pax when they aren't. I will not be coming back here. Highly recommend purple star instead - better prices and better service."
26,"Feb 16, 2021",I've been a customer for many months.I've always been treated with respect by the staff and managers. Luis helped me out today and he was great.
27,"Feb 21, 2021","I love Stiiizy products, but this store location doesn't have the best customer service. And they never have any deals going on like every other dispensary I've been to. What's up with that? I do think those sealed baggies they put your items in are nice though. For whatever that's worth..."
28,"Jul 19, 2021","Looking at other reviews I guess I'm not the only one who's dealt with a rude sales girl who loves to give attitude and yell at customers. Came here with my dude and although we were buying separately we were standing next to each other and the crazy chick up front starts screaming at us to be six feet apart. Like ma'am, we literally live in the same household so how does it make sense for us to be six feet apart? Even if it is the store policy there's absolutely no reason to act all crazy about it. Anyway this place has hella bad vibes, don't recommend."
29,"May 29, 2022",I love coming to this location! I just went about 2 days ago and the Budtender Gems was killin it recommending so many options when I was getting overwhelmed with all the flavors. They told me to try to the CDT Pods and I recommended White Truffle and it's now my new favorite flavor! Gotta come back some more!
30,"Dec 11, 2020",Went in today wanting to buy some products. Wanted to support a local business. Needed to buy my months worth of supplies. It was so loud I could not hear the employee behind the counter; they proceeded to pull their mask away from their face and continued to talk at me. I told her I needed a minute; and they continued to talk AT me. Please let a person look and ask the questions. I was hounded so much I left and went to another shop.  The security guard and reception were very nice. The sales employee was too aggressive.
31,"May 31, 2022",Really loved the experience. The receptionist had a great personality and made my first dispensary experience as smooth as possible. The guys working in the back knew exactly what I needed based off what I was looking for and the product definitely met those expectations. Really great place and will be returning for future re-ups.
32,"May 21, 2022","Catherine has to be the best and most bubbly receptionist I have ever met!!!! You guys need to make her a budtender, 10/10 I'll deffffff be coming back"
33,"Sep 20, 2020",Everyone is friendly here. They have social distancing tapes on the ground and rules to follow. I was in and out in less than 5 minutes. It's a clean establishment. It's cash only. They have a ton of selection. Parking is metered and not too terrible.
34,"Mar 30, 2020","This shop is awesome!! I go here a couple of times a week because they've got the best prices around. I purchase my Heavy Hitters cartridges and all my flower here, esp on Thur and Fri because they have flower deals on those days. I live close by near the Mission District and their location is only 7 mins away from my home. Everyone from the security to the front desk staff and budtenders are uber welcoming and professional."
35,"May 25, 2021","What a joke. It clearly says online that they're open until 10pm daily. I showed up at 9:44pm And they turned me away stating that they ""close in 5 minutes"", Pointing to a sign on the door that says ""10 AM to 9:50 PM daily"". I showed them the current time on my phone and the time listed online, apparently they don't like being proven wrong because the guy shut the door in my face. I'll definitely be going around the corner to Urbana from now on. I normally do since it's a way better business and has friendlier staff, but they close at 9 PM and I couldn't make it in time."
36,"Apr 7, 2022","Always a lit time with Alycia! If she's there definitely go to her, she treats me like family. Literally! 5/5 stars for this place. Definitely gonna come back here."
37,"Apr 16, 2020",Good shit they have the best bud and prices in Bay Area. And the best part is that all the tax is included in the price you see
38,"Feb 2, 2020","I've been here a few times because it's convenient and chill, but today I had an experience that turned me into a forever loyal customer!I had an issue with a broken vape cartridge I purchased, and it turned out to be incompatible with my battery module. Even though they were super busy while I was there, Issy (the manager) did some in-depth research for me to determine the type of cartridge I should get in the future, and helped me find a battery that would work with the products I have currently. She truly went above and beyond to help me. This place rocks and I will definitely be making this my home store!!"
39,"Aug 22, 2021",Always a go to spot in The Mission. The staff is very friendly and always directs me to what I am looking for. The Stiiizy staff is the best.
40,"Jul 26, 2022","As a ""tourist"" I visited this location and my ID was scanned in ( I'm from Out of state) Spent a good amount of money. Note my DL had a piece of tape on it from being cracked, not broken. I flew across the country and this same ID was accepted via TSA. Returned to make an additional purchase 2 days later and was turned away because of that same little piece of tape. Now mind you, my ID was ""scanned in"" at my first visit and my ID was valid when I spent money but then not today? It's cool tho... I will spend my money else where. Cannabis is legal where I'm from so you're Not doing me any favors, and Out of principle I will not be purchasing from your chain and  no one I know will be neither. Girl at the front counter ( little nerdy with glasses,but cute) is rude as shit and pulls the ""state compliance"" card and refuses to listen... rude and just talks over you like you've done something wrong. Bad for business attitude for sure."
41,"Mar 13, 2022",The receptionist cat really made my day when I walked in she helped me get in and out by giving  me helpful tips like the daily deals for the day and the st pattys deal couldn't ask for better Customer service !
42,"Sep 24, 2019","It's impossible to list why I'm so upset. This used to be a great place. I was told some time ago that they were undergoing a remodel. This is on a whole different level, something else. It was a take over from a massive company. All the neighborhood charm, all the local flavor, and any deals that helps retain people and welcome people from the neighborhood back as if they were just family members...gone. So is my business.Robert, the security guard was the only familiar face to greet me when I returned after the 'remodel'. After I checked in, they scanned my ID again scanned my rec again and welcomed me in with a 10% first time visitor discount as if I'd never been there.I found that extraordinarily insulting. Especially since they asked if it was my first time back since the 'remodel'. After they found out I was a regular, they still treated me like it was my first time into not just that facility but any cannabis dispensary. They can keep my 10% I just want my old place back. I might just have to go back to buying illegally. At least those dealers know you. Wipe this place off your map because they are no longer La Corona. Not in name, not in staff, not in atmosphere, not in practice, not in neighborhood, not in anything. It doesn't even fit The Mission which was the whole mission of La Corona in the first place. I remember a local hardware store in my hometown sold out to a major company. All the old staff that had been there for 30 years and kept that place running left because of how management treated them afterward. They closed a year later because all the local business keeping it afloat stopped using it. I hope that happens to this new place."
43,"Mar 14, 2021","I wish the budtenders didn't make me feel like I was wasting their time and that they at least ACTED Like they were in the business of customer service instead of just tolerating my questions about products. I'll be avoiding this place after that experience just now. Especially, as a female, ya'lls MALE employees should treat female customers better."
44,"Dec 31, 2020","I love coming here, prices are just right, the people are awesome and well where else can a bunch of ladies start dancing to BBD's Poison on a Friday afternoon? :)"
45,"Mar 1, 2022","NO CAP I came in like the very last minute I could. I felt bad but Stiiizy is always on point. The staff is always friendly and I love the energy they radiate. Tonight Ernesto helped me get in and out and made sure my order was in before 10. After that they can no longer take orders or accept payment. Even though I came in with 5 left to spare, I didn't feel rushed and the service was great! Thank you Ernesto!"
46,"Dec 27, 2021",Stiiizy think they slick . Smh San Francisco put the no tax on the price of weed because people didn't want to pay 60 plus for an 8th and went to the streets. So now Stiiizy already put the tax on the weed price . So the 8th still 60 plus . Y'all funny but it's capitalism at its finest.
47,"Oct 5, 2020",You can't look at the weed before you buy it. The staff are uneducated on the product. The staff is aggressive. You would think people selling weed would be laid back and chill but it's like they are all angry. The Davis location is further and smaller but there is much better service and the staff can actually talk about the product AND they let you see your weed before you purchase it.
48,"Nov 30, 2020","Overpriced.  The place aesthetically is great but too bougie for my taste.  The weed is subpar, so you're paying for the expensive visual experience.  The cashiers have very little knowledge of the products and strands.  Great if you want to take a pic for Instagram, not if you want some good cannabis products."
49,"Nov 30, 2020",I was visiting from Seattle I've never been to a cannabis club in California before. I was not aware of the brands of cannabis in California and this club but Sofiea helped me to get familiar with products at this club. I left with exactly what I wanted.
50,"Dec 7, 2020",Cool prices but the staff is hella weak and don't care. Just had to walk out cause I was waiting to be checked out but they were taking more customers in to where no one could ring me up. Thanks for the effort won't be coming back here again
51,"Dec 1, 2020",Very bad experience All the time when I asked for product the said out the store and the give me bad products I will never  go there
52,"Jan 6, 2021","These guys have the best love rosin badder and other dab/pods. Joe. S. Hooked me up, he had to dig for the one I wanted. Cherry pie live rosin badder"
53,"Jul 31, 2020","LOVE THIS STORE. Love the daily deals, love the vibes! Tee and Liz are the best and I can't wait to shop WAX WEDNESDAY!! Best in class service here every single time !!"
54,"Jun 15, 2021",Pretty sure the I's in STIIIZY stand for impossibly inept imbeciles. If you're gonna shut the door on medical patients' face because it's 9:49pm then don't have your hours as 10pm. Came here from pretty far away because their prices were better and it was the only time we could but every time they're just rude as hell. The budtenders obviously know a lot but god forbid you ask them any questions. Not to mention one of them took my friends information from her account to incessantly text her then got all pissed off when she said she wasn't interested. Dawg you really out here being the worst to customers and then make them too uncomfortable to come back but whatever y'all make your coin harassing people. If you made it to the end of this review then you might as well drive down the block to Greenthumbs.
55,"Mar 14, 2022","Reason is that they do not support black people , even the ones that work for them . The Bay Area supports black people but stiizy employs blacks just so they won't get backlash but they treat their black employees and Latin employees like trash . Yes they will find few blacks to say they been treated well but I know for sure they don't , from San Francisco area to concord area all the way down to alameda county . I can tell you about their employees getting treated unfair and customers and contracted employees also . That's why they don't be getting sales like that also cause of how they treat their own staff and customers . How you in the business but don't know customers or what's actually legal for them to do . Anybody need factual information on how they are treating employees or customers , we will be having reviews and discussion on a platform coming soon , and we actually didn't want to do it like this but something has to change big weed companies don't care about their customers or employees. I wonder how the board will feel about this information of this club operating the way they do . Culture vultures , I should actually start posting the videos of customers and they way we treated as customers"
56,"Dec 12, 2020",Solid spot to scoop all the delicious flowers and concentrates. Clean location with all the proper protocol. Appreciate the hospitality and recommendation from Dennis.
57,"Mar 8, 2020","Charged different prices for same product last 3 times , on same day ,with same daily deal bad customer service 4 out of the 5 times I've been.The product is great ,the attitude and the getting lied to about pricing is enough to buy from another source."
58,"Apr 30, 2020","I love this cannabis shop. I come here a few times before I have to go back home. Everyone's nice and loves to explain to me in detail, on what I'm buying :) friendly peeps. Would def recommend to my friends who go to cannabis shops!"
59,"Nov 18, 2019","WOW!!! Front desk guy was MAD Rude to me!!! I came in all chipper and polite, dispute the fact I may Be another industry person he sees 20th time that same day, But his customer service skills lack! He mocked me for coming in, straight up fake typed and was like ""I will get on it and let someone know. Your only the 100th vendor that came in!"" He didn't even give me a chance to even set myself apart. He just tore me apart. Then chewed up a menu he asked me to leave. If this is what the brand is about.... being haters and judging people at the front door, I want no part of it. Any Customers who seek compassion or friendly service, It's not at that shop. If your a little hype beast, and love to troll around. Then this is your shop!"
60,"Mar 6, 2021",First time customer of Stiizy. They sold me expired Kanha Cannabis Infused Gummies. The tenders was brusk and had limited knowledge of the products they were selling. I will be contacting the Office of Cannabis to submit a formal complaint.
61,"Oct 7, 2019","This place kinda blows now that they remodeled and changed to stiizy. The people are still friendly and the door guy is the same thankfully (he's dope) but this place is coming off hella corporate now. But the product was more expensive for the same stuff and they CHARGE 3 DOLLARS to use your damn card now! The ONLY good change I noticed was that if you're a sf resident you get a 5-10% discount or something like that. Other than that, this place isn't worth it anymore."
62,"Jul 8, 2021","This rating is for Jasmine! I called in to ask about apparel and she was polite, fast and efficient. Thank you for your help!"
63,"Apr 16, 2021","check the date! check the date! check the date! this place is known for having great deals for moldy, old and expired products. even the $80 flower is way beyond old!! ask for the date before you buy anything because they will not do a return or refund. i know"
64,"Oct 2, 2019",I dropped by for the Grand Opening. The staff was friendly enough however everything is behind glass with no prices listed. The items I asked about were not in stock even though they were on display. The clerk helping me did not know the products. On top of everything else they had a tip jar out! That is like going to Walgreens and having to tip your clerk.  If they can't pay the staff enough nor educate them I don't want to shop here.
65,"May 18, 2021","be careful what you buy here!!! i made the wrong decision to make a store pickup order through weedmaps. there menu says live but that may be a lie! i purchased a 8th here for what there ""live"" menu said was quite fresh and high on thc. what i received was completely the opposite. the 8th was very low on thc, it was close to expiring and the 8th looked extremely wrinkled and crushed the manager said the false misleading advertisement of the product was not there fault but weedmaps. however upon speaking to customer service it was clearly stiiizys fault on misleading consumers on purchasing false  authenticity and quality of a product then refusing to take ownership when there receipt even says otherwise. if thats not close to stealing i don't know what is. the manager could of easily deemed it defective but at every turn chose not to take responsibility. Out of all my years and all the clubs I have ever been to this was the first time a dispensary FAILED to take responsibility for there wrong doing. pretty shady moves by such an establishment.---- DONT COME HERE, they sell EXPIRED weed then won't refund you AT ALL even though the moldy weed is potentially hazardous for anyone with stomach issues. --- GO TO *PURPLE STAR*----- or ----Mission Organic---"
66,"Oct 16, 2019","STIIIZY replaced la corona wellness in the south mission. It has really renovated the space making it visually appealing. Clean lines, bright lights, attention to detail make this store feel like a great modern shopping experience. Everyone I have interacted with is so friendly and helpful. Yea, it skews to STIIIZY branded products but they also have a lot of other products that will keep you satisfied. Also gotta say I got the STIIIZY pod system and like it much better than pax. The toke are smoother, taste is better and the cartridges seem to last longer. Overall would recommend."
67,"Dec 27, 2019",Awesome place and staff. Just moved up to this area from San Jose and am so glad to stumble down here. Girl at the front desk was super friendly and great. The guy helping me helped me find good choices that I don't regret. Definitely coming back here.
68,"Jan 2, 2021",Chris had the worst customer service. Very rude and not helpful. Made me not want to come back here. First time here and was a bad experience.
69,"Feb 23, 2020","This place is awesome!!! They have super nice employees that help you out with any questions you have. Also, I've saved so much money because they always have deals! The gummies they have are my absolute favorite"
70,"May 22, 2020","Lost my battery and happened to be in the Mission, walked in and was assisted by Francis-- sold on live  resin Ice Cream Cake, Bloom Disposable pen Maui Waui . excellent service. Thank You!"
71,"Dec 11, 2020",I was walking home from work the other day and I noticed a big poster inside this place where a African-American man is smoking a marijuana joint. This is another example of black exploitation. Whoever owns this place should be ashamed.This place should definitely be boycotted by civil rights advocates.
72,"Feb 14, 2021","What's up with buying a $40 joint SMALLER THAN MY PINKY and when you light it up the thing it's just ashes no smoke. Went back into the store since I am not a new costumer nor smoker, just for them to escort me out on v-day... when this happens the manager should've checked it and offer a replace instead of arguing with the costumer saying it was halfway...what part of all ashes no smoke did he not understand..oh and on my way out there was someone else complaining that his stuff wasn't good either DEFINITELY NOT RETURNING"
73,"Nov 1, 2019",One of my favorite new clubs in San Fran. I can't in there first time a few days ago and had to come back because the quality was amazing and the staff was very friendly! Come in for great quality and friendly service!
74,"Jan 4, 2020",Solid prices. Solid first-timer discount. Solid knowledge and service. Left with great recommendations and stuff that is every bit as great as advertised. Welcome to the hood!
75,"Sep 8, 2021","Awful company. Particularly awful store. Went in for the first time, asked for a vape cartridge. Budtender offers bla bla bla. It's weed so I don't really care. I say sure. Product is not viewable because of their packaging. I walk out of store, open packaging. Vape cartridge does not fit on my battery. I have that circular/cylindrical battery that is by far the most common. Like the one everyone has. I didn't even know there was another type. Apparently there is. Budtender knew they offer 2 types but didn't have a thought to maybe clarify which of the 2 types I needed. He just presumed to know. I turn back into the store. Bare in mind that I had left the store 30 seconds prior. Manager is argumentative in that passive aggressive sorta way where they're making it like I'm the one being difficult. It's beyond absurd. They tell me absolutely no returns/exchanges. The product is mine now but they'll happily sell me a second cartridge. They tell me to phone customer service. The number they provide does not lead you to anyone. They rip me off for $35 because of their own mistake. Could have had a customer for years.  Whatever."
76,"Dec 20, 2019",S/O to Izzy @ Stiiizy. I really appreciate how patient she was with my indecisiveness!!
77,"Jan 29, 2021","Today I walked in and was very displeased with the way my orders were taken care of. Female worker was too high on the job and just wasn't on the same planet I was. I let her know about the mistake she made and that I wanted a full gram carts, ended up getting half grams and it seemed like all she could do is laugh about the fact that she made a mistake. I came back in trying to fix my issue which was to get my order right, but solely based off the employees mistakes no matter what, I was told by managers ""Sales are final"". Even if the employees lack of attentiveness was the reason why my order was MESSED UP!! They say thats POLICY..."
78,"Aug 20, 2020",Staff are not there to make your experience better they only want to sell you weed i would recommend barbery coast in sf there is two locations both are excellent
79,"Dec 18, 2020","Sophia was amazing!!!! great customer service, friendly store, top notch weed, highly recommend"
80,"Dec 1, 2019",I Love this Dispensary! I've been coming here for a few years now (before the Grand Opening) & I'm very pleased with the new set-up. The staff is hella friendly & very knowledgeable. They have fire flowers & lots of other great products. I really appreciate the the staff's patience especially when its so hard to choose from everything they have. I would recommend anyone here. Especially if you suffer from any medical conditions. There is so many CBD products to choose from.
81,"Dec 8, 2020","the staff was super welcoming, we took forever but the home girl Sabrina really took care of us and took the time to actually look through their stock to make sure we left with some that zaaa"
82,"Sep 24, 2020","First of i never been here right but was told they get pretty packed  but I literally jus called and a man named Gabriel picked up and i said "" hello how are you just wanted to asm if you guy's were busy at the moment and he was speaking with another customer at the moment then i said ""hello?"" and he said your good togo to the other customer but gave me hella attitude and said ""i said yes we're busy"" but with a stank ass attitude.  Never been in AND NOW I DON'T EVEN WANT TOGO IN THANKS GABRIEL YOU RUDE AHH"
83,"Feb 16, 2021",One of my favorite dispensaries in the city. Good music and very friendly staff. Especially Joseph! Always provides 5 star service and has great recommendations for tree. Will return!
